date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,month,date_ind,year,is_weekend,day_of_week_name,usage_cpu_lag_1,usage_storage_lag_1,users_active_lag_1,usage_cpu_lag_3,usage_storage_lag_3,users_active_lag_3,usage_cpu_lag_7,usage_storage_lag_7,users_active_lag_7,usage_cpu_rolling_mean_3,usage_storage_rolling_mean_3,users_active_rolling_mean_3,usage_cpu_rolling_mean_7,usage_storage_rolling_mean_7,users_active_rolling_mean_7,usage_cpu_rolling_mean_30,usage_storage_rolling_mean_30,users_active_rolling_mean_30,usage_cpu_rolling_std_3,usage_cpu_rolling_std_7,usage_cpu_rolling_std_30,usage_storage_rolling_std_3,usage_storage_rolling_std_7,usage_storage_rolling_std_30,users_active_rolling_std_3,users_active_rolling_std_7,users_active_rolling_std_30,cpu_per_user,storage_per_user,cpu_storage_ratio,econ_demand_ratio,system_stress,cpu_utilization_ratio,storage_efficiency
01-01-2023,East US,Container,70,621,414,104.97,0.99,1,1,1,2023,TRUE,Sunday,70,621,414,70,621,414,70,621,414,71,1250.666667,349.3333333,70.14285714,1361.571429,358.5714286,76.4,1203.333333,343.7666667,14.52583905,13.93351561,15.47099622,687.9973353,503.2970816,487.4611449,112.0059522,94.18750296,93.11790203,0.169082126,1.5,0.112721417,106.030303,69.3,0.7,0.311278195
02-01-2023,East US,Container,86,1146,220,106.48,1.15,0,1,2,2023,FALSE,Monday,70,621,414,70,621,414,70,621,414,71,1250.666667,349.3333333,70.14285714,1361.571429,358.5714286,76.4,1203.333333,343.7666667,14.52583905,13.93351561,15.47099622,687.9973353,503.2970816,487.4611449,112.0059522,94.18750296,93.11790203,0.390909091,5.209090909,0.07504363,92.59130435,98.9,0.78,0.442857143
03-01-2023,East US,Container,57,1985,414,97.66,0.98,0,1,3,2023,FALSE,Tuesday,86,1146,220,70,621,414,70,621,414,71,1250.666667,349.3333333,70.14285714,1361.571429,358.5714286,76.4,1203.333333,343.7666667,14.52583905,13.93351561,15.47099622,687.9973353,503.2970816,487.4611449,112.0059522,94.18750296,93.11790203,0.137681159,4.79468599,0.028715365,99.65306122,55.86,0.71,0.626900585
04-01-2023,East US,Container,57,1279,232,115.79,1.08,0,1,4,2023,FALSE,Wednesday,57,1985,414,70,621,414,70,621,414,66.66666667,1470,288.6666667,70.14285714,1361.571429,358.5714286,76.4,1203.333333,343.7666667,16.74315781,13.93351561,15.47099622,450.9334762,503.2970816,487.4611449,108.7075588,94.18750296,93.11790203,0.245689655,5.512931034,0.044566067,107.212963,61.56,0.675,0.630451128
05-01-2023,East US,Container,85,1024,359,95.31,1.05,0,1,5,2023,FALSE,Thursday,57,1279,232,86,1146,220,70,621,414,66.33333333,1429.333333,335,70.14285714,1361.571429,358.5714286,76.4,1203.333333,343.7666667,16.16580754,13.93351561,15.47099622,497.8256053,503.2970816,487.4611449,93.34345183,94.18750296,93.11790203,0.236768802,2.852367688,0.083007813,90.77142857,89.25,0.71,0.607017544
06-01-2023,East US,Container,81,1995,432,95.37,0.95,0,1,6,2023,FALSE,Friday,85,1024,359,57,1985,414,70,621,414,74.33333333,1432.666667,341,70.14285714,1361.571429,358.5714286,76.4,1203.333333,343.7666667,15.14375559,13.93351561,15.47099622,503.408714,503.2970816,487.4611449,101.2077072,94.18750296,93.11790203,0.1875,4.618055556,0.040601504,100.3894737,76.95,0.726666667,0.67251462
07-01-2023,East US,Container,55,1481,439,102.42,0.81,1,1,7,2023,TRUE,Saturday,81,1995,432,57,1279,232,70,621,414,73.66666667,1500,410,70.14285714,1361.571429,358.5714286,76.4,1203.333333,343.7666667,16.28905563,13.93351561,15.47099622,485.7787562,503.2970816,487.4611449,44.30575583,94.18750296,93.11790203,0.125284738,3.37357631,0.03713707,126.4444444,44.55,0.701428571,0.682491944
08-01-2023,East US,Container,81,1514,208,82.75,0.94,1,1,8,2023,TRUE,Sunday,55,1481,439,85,1024,359,70,621,414,72.33333333,1663.333333,359.6666667,71.71428571,1489.142857,329.1428571,76.4,1203.333333,343.7666667,15.011107,14.52256045,15.47099622,287.705289,383.1263623,487.4611449,131.3938101,105.4868532,93.11790203,0.389423077,7.278846154,0.053500661,88.03191489,76.14,0.717142857,0.746437522
09-01-2023,East US,Container,97,1915,334,89.87,1.03,0,1,9,2023,FALSE,Monday,81,1514,208,81,1995,432,86,1146,220,77.66666667,1636.666667,327,73.28571429,1599,345.4285714,76.4,1203.333333,343.7666667,21.19748413,16.75026652,15.47099622,241.6078089,378.5591103,487.4611449,115.6589815,94.00329275,93.11790203,0.290419162,5.733532934,0.050652742,87.25242718,99.91,0.732857143,0.801503759
10-01-2023,East US,Container,86,779,380,90.92,0.86,0,1,10,2023,FALSE,Tuesday,97,1915,334,55,1481,439,57,1985,414,88,1402.666667,307.3333333,77.42857143,1426.714286,340.5714286,76.4,1203.333333,343.7666667,8.185352772,15.59761887,15.47099622,576.1252757,442.6189913,487.4611449,89.04680417,90.68968545,93.11790203,0.226315789,2.05,0.110397946,105.7209302,73.96,0.774285714,0.715145005
11-01-2023,East US,Container,56,535,372,114.66,0.98,0,1,11,2023,FALSE,Wednesday,86,779,380,81,1514,208,57,1279,232,79.66666667,1076.333333,362,77.28571429,1320.428571,360.5714286,76.4,1203.333333,343.7666667,21.22105872,15.81891574,15.47099622,736.4817264,558.2304951,487.4611449,24.57641145,77.18777352,93.11790203,0.150537634,1.438172043,0.104672897,117,54.88,0.772857143,0.661868958
12-01-2023,East US,Container,93,504,302,100.68,0.86,0,1,12,2023,FALSE,Thursday,56,535,372,97,1915,334,85,1024,359,78.33333333,606,351.3333333,78.42857143,1246.142857,352.4285714,76.4,1203.333333,343.7666667,19.65536398,16.73177758,15.47099622,150.6220435,633.7434887,487.4611449,42.91076011,80.32404609,93.11790203,0.30794702,1.668874172,0.18452381,117.0697674,79.98,0.784285714,0.624633011
13-01-2023,East US,Container,71,1360,446,94.56,1.01,0,1,13,2023,FALSE,Friday,93,504,302,86,779,380,81,1995,432,73.33333333,799.6666667,373.3333333,77,1155.428571,354.4285714,76.4,1203.333333,343.7666667,18.61003314,16.90167645,15.47099622,485.5103844,548.3851618,487.4611449,72.00925866,82.77249371,93.11790203,0.159192825,3.049327354,0.052205882,93.62376238,71.71,0.77,0.579162191
14-01-2023,East US,Container,65,1291,446,88.49,1.04,1,1,14,2023,TRUE,Saturday,71,1360,446,56,535,372,55,1481,439,76.33333333,1051.666667,398,78.42857143,1128.285714,355.4285714,76.4,1203.333333,343.7666667,14.74222959,15.05387152,15.47099622,475.5463525,534.1010249,487.4611449,83.13843876,83.9977324,93.11790203,0.14573991,2.894618834,0.050348567,85.08653846,67.6,0.784285714,0.565556749
15-01-2023,East US,Container,83,614,304,93.99,0.97,1,1,15,2023,TRUE,Sunday,65,1291,446,93,504,302,81,1514,208,73,1088.333333,398.6666667,78.71428571,999.7142857,369.1428571,76.4,1203.333333,343.7666667,9.16515139,15.12959887,15.47099622,412.2309223,534.1010249,487.4611449,81.98373822,60.45226373,93.11790203,0.273026316,2.019736842,0.135179153,96.89690722,80.51,0.787142857,0.501109918
16-01-2023,East US,Container,97,1228,386,93.98,1.19,0,1,16,2023,FALSE,Monday,83,614,304,71,1360,446,97,1915,334,81.66666667,1044.333333,378.6666667,78.71428571,901.5714286,376.5714286,76.4,1203.333333,343.7666667,16.04161255,15.12959887,15.47099622,374.0084669,378.2692415,487.4611449,71.28347167,58.5800226,93.11790203,0.251295337,3.18134715,0.078990228,78.97478992,115.43,0.787142857,0.451915503
17-01-2023,East US,Container,96,1087,208,99.87,0.89,0,1,17,2023,FALSE,Tuesday,97,1228,386,65,1291,446,86,779,380,92,976.3333333,299.3333333,80.14285714,945.5714286,352,76.4,1203.333333,343.7666667,7.810249676,16.35469934,15.47099622,321.6120852,379.5465967,487.4611449,89.09171305,86.3790098,93.11790203,0.461538462,5.225961538,0.088316467,112.2134831,85.44,0.801428571,0.473970641
18-01-2023,East US,Container,52,672,340,108.23,0.88,0,1,18,2023,FALSE,Wednesday,96,1087,208,83,614,304,56,535,372,81.66666667,995.6666667,311.3333333,79.57142857,965.1428571,347.4285714,76.4,1203.333333,343.7666667,25.69695183,17.37677706,15.47099622,289.0334467,357.7533734,487.4611449,92.39769117,85.99003264,93.11790203,0.152941176,1.976470588,0.077380952,122.9886364,45.76,0.795714286,0.483780881
